ID,Recency,Frequency,Monetary,AvgAmount,LastAmount,LastGiftDate,FirstGiftDate,Gifts12,Amt12
83714,12,1,200.0,200.0,200.0,2025-07-31,2025-07-31,1.0,200.0
83356,12,1,200.0,200.0,200.0,2025-07-31,2025-07-31,1.0,200.0
15560,19,1,500.0,500.0,500.0,2025-07-24,2025-07-24,1.0,500.0
13760,19,1,1500.0,1500.0,1500.0,2025-07-24,2025-07-24,1.0,1500.0
30755,22,1,200.0,200.0,200.0,2025-07-21,2025-07-21,1.0,200.0
13820,29,1,250.0,250.0,250.0,2025-07-14,2025-07-14,1.0,250.0
23858,29,1,300.0,300.0,300.0,2025-07-14,2025-07-14,1.0,300.0
13254,43,1,100.0,100.0,100.0,2025-06-30,2025-06-30,1.0,100.0
65943,43,1,40.0,40.0,40.0,2025-06-30,2025-06-30,1.0,40.0
14966,41,2,100000.0,50000.0,80000.0,2025-07-02,2025-06-30,2.0,100000.0
82396,47,1,404.0,404.0,404.0,2025-06-26,2025-06-26,1.0,404.0
78421,47,1,203.61,203.61,203.61,2025-06-26,2025-06-26,1.0,203.61
78580,47,1,822.13,822.13,822.13,2025-06-26,2025-06-26,1.0,822.13
81630,47,1,203.61,203.61,203.61,2025-06-26,2025-06-26,1.0,203.61
25837,47,1,100000.0,100000.0,100000.0,2025-06-26,2025-06-26,1.0,100000.0
15393,41,2,10000.0,5000.0,5000.0,2025-07-02,2025-06-26,2.0,10000.0
79389,47,1,505.0,505.0,505.0,2025-06-26,2025-06-26,1.0,505.0
83357,47,1,407.07,407.07,407.07,2025-06-26,2025-06-26,1.0,407.07
75463,47,1,203.61,203.61,203.61,2025-06-26,2025-06-26,1.0,203.61
16087,47,1,202.0,202.0,202.0,2025-06-26,2025-06-26,1.0,202.0
82154,47,1,808.0,808.0,808.0,2025-06-26,2025-06-26,1.0,808.0
81345,48,1,100.0,100.0,100.0,2025-06-25,2025-06-25,1.0,100.0
15794,49,1,750.0,750.0,750.0,2025-06-24,2025-06-24,1.0,750.0
17014,49,1,1000.0,1000.0,1000.0,2025-06-24,2025-06-24,1.0,1000.0
13524,50,1,5000.0,5000.0,5000.0,2025-06-23,2025-06-23,1.0,5000.0
78412,53,1,50.0,50.0,50.0,2025-06-20,2025-06-20,1.0,50.0
57153,53,1,1000.0,1000.0,1000.0,2025-06-20,2025-06-20,1.0,1000.0
83115,53,1,100.0,100.0,100.0,2025-06-20,2025-06-20,1.0,100.0
76633,54,1,600.0,600.0,600.0,2025-06-19,2025-06-19,1.0,600.0
58033,54,1,3.0,3.0,3.0,2025-06-19,2025-06-19,1.0,3.0
79498,55,1,50.0,50.0,50.0,2025-06-18,2025-06-18,1.0,50.0
21431,57,1,150.0,150.0,150.0,2025-06-16,2025-06-16,1.0,150.0
15100,57,1,5000.0,5000.0,5000.0,2025-06-16,2025-06-16,1.0,5000.0
13964,57,1,1000.0,1000.0,1000.0,2025-06-16,2025-06-16,1.0,1000.0
25710,57,1,10000.0,10000.0,10000.0,2025-06-16,2025-06-16,1.0,10000.0
83135,60,2,600.0,300.0,300.0,2025-06-13,2025-06-13,2.0,600.0
83806,60,1,60000.0,60000.0,60000.0,2025-06-13,2025-06-13,1.0,60000.0
30863,63,1,6000.0,6000.0,6000.0,2025-06-10,2025-06-10,1.0,6000.0
30862,63,1,6000.0,6000.0,6000.0,2025-06-10,2025-06-10,1.0,6000.0
83284,63,1,200.0,200.0,200.0,2025-06-10,2025-06-10,1.0,200.0
21391,63,1,100.0,100.0,100.0,2025-06-10,2025-06-10,1.0,100.0
17420,63,1,150.0,150.0,150.0,2025-06-10,2025-06-10,1.0,150.0
12307,63,1,1000.0,1000.0,1000.0,2025-06-10,2025-06-10,1.0,1000.0
24369,75,1,200.0,200.0,200.0,2025-05-29,2025-05-29,1.0,200.0
82865,8,3,420.0,140.0,200.0,2025-08-04,2025-05-14,3.0,420.0
82615,6,2,400.0,200.0,200.0,2025-08-06,2025-05-08,2.0,400.0
