Suburb,total_amount,donors,donation_count,avg_amount_per_donation,avg_amount_per_donor
SOUTH YARRA,2282760.0,5,39,58532.307692307695,456552.0
NORTH ADELAIDE,1872748.23,180,1038,1804.1890462427746,10404.156833333333
MALVERN,1666618.51,60,344,4844.82125,27776.975166666667
SPRINGFIELD,1599280.0,23,110,14538.90909090909,69533.91304347826
Missing,1181875.8599999999,108,409,2889.672029339853,10943.294999999998
MEDINDIE,1026380.0,97,532,1929.2857142857142,10581.237113402061
ADELAIDE,883299.0,91,455,1941.3164835164835,9706.582417582418
BEAUMONT,859628.3,57,237,3627.1236286919834,15081.198245614036
ITHACA NY 14852-4332,690568.86,1,31,22276.414838709676,690568.86
ST PETERS,611573.7,146,655,933.7003053435113,4188.860958904109
WALKERVILLE,389093.0,107,594,655.0387205387206,3636.3831775700933
ERINDALE,363518.29,22,97,3747.611237113402,16523.558636363636
WOOLLAHRA,287609.0,4,17,16918.176470588234,71902.25
HACKNEY,282745.92,25,170,1663.211294117647,11309.8368
ST GEORGES,259450.0,43,223,1163.4529147982062,6033.720930232558
NEUTRAL BAY,259127.3,3,24,10796.970833333333,86375.76666666666
COROMANDEL VALLEY,257425.0,5,49,5253.571428571428,51485.0
TOORAK GARDENS,253175.0,57,284,891.4612676056338,4441.666666666667
HERTS SG10 6JG,234391.41999999998,1,23,10190.931304347825,234391.41999999998
UNLEY,218172.0,47,180,1212.0666666666666,4641.95744680851
STIRLING,209271.29,48,212,987.1287264150944,4359.8185416666665
MILLSWOOD,190240.0,30,138,1378.5507246376812,6341.333333333333
LEABROOK,181038.0,39,279,648.8817204301075,4642.0
PROSPECT,158479.07,48,155,1022.4456129032259,3301.6472916666667
UNLEY PARK,158151.0,52,265,596.7962264150943,3041.3653846153848
MYRTLE BANK,157009.85,34,190,826.3676315789475,4617.9367647058825
BURNSIDE,151253.0,64,345,438.41449275362316,2363.328125
HENDON,149343.73,1,5,29868.746000000003,149343.73
CREMORNE POINT,138822.52,1,10,13882.251999999999,138822.52
COLLEGE PARK,131758.99,83,344,383.02031976744183,1587.4577108433734
GILBERTON,131666.3,50,289,455.5927335640138,2633.3259999999996
LOCKLEYS,118928.0,10,73,1629.150684931507,11892.8
GLEN OSMOND,111368.99,39,195,571.1230256410257,2855.6151282051283
NORWOOD,105259.5,52,235,447.9127659574468,2024.2211538461538
ROSE PARK,98438.0,42,166,593.0,2343.7619047619046
KENT TOWN,96366.38,32,135,713.8250370370371,3011.449375
EASTWOOD,93150.0,9,27,3450.0,10350.0
UNLEY BC,80450.0,5,52,1547.1153846153845,16090.0
NETHERBY,68565.0,24,104,659.2788461538462,2856.875
HENLEY BEACH,66085.0,11,137,482.37226277372264,6007.727272727273
HEATHFIELD,65029.0,8,30,2167.633333333333,8128.625
MARDEN,64525.0,11,24,2688.5416666666665,5865.909090909091
MITCHAM,62915.0,20,97,648.6082474226804,3145.75
BELLEVUE HILL,62412.0,3,42,1486.0,20804.0
NORTH  PLYMPTON,60000.0,1,15,4000.0,60000.0
GLENUNGA,57783.93,30,189,305.73507936507934,1926.131
HAZELWOOD PARK,57720.0,27,101,571.4851485148515,2137.777777777778
WOOLAHRA,53580.0,1,2,26790.0,53580.0
GLENSIDE,52263.61,42,226,231.25491150442477,1244.3716666666667
WOODSIDE,51900.0,3,6,8650.0,17300.0
