CurrentParent,PastParent,PastStudent,FutureParent,donors,donation_count,total_amount,avg_amount,median_amount
1,1,1,1,1,2,400.0,200.0,200.0
1,1,1,0,31,255,69329.29,271.87956862745096,200.0
1,1,0,1,7,14,3450.0,246.42857142857142,200.0
1,1,0,0,104,368,117198.8,318.475,200.0
0,3,0,0,1,8,1400.0,175.0,200.0
1,0,1,1,9,31,5742.5,185.24193548387098,200.0
1,0,1,0,81,439,181587.8,413.6396355353075,200.0
1,0,0,1,26,69,15753.61,228.31318840579712,200.0
1,0,0,0,466,1628,440467.44,270.5573955773956,200.0
0,1,1,1,1,5,80.0,16.0,10.0
0,1,1,0,689,4565,5271642.68,1154.7957677984666,200.0
0,1,0,1,16,43,11013.0,256.1162790697674,200.0
0,1,0,0,1821,6674,2738646.09,410.3455334132454,200.0
0,0,1,1,15,40,19180.0,479.5,112.5
0,0,1,0,776,4228,9436450.129999999,2231.894543519394,100.0
0,0,0,1,2,9,4428.0,492.0,500.0
0,0,0,0,198,605,3059303.27,5056.699619834711,200.0
