Year,total_amount,donors,donation_count,avg_amount_per_donation,avg_amount_per_donor,avg_donations_per_donor,YoY_total_growth_%,YoY_donor_growth_%,YoY_avg_donation_growth_%
2025,972385.5,72,81,12004.75925925926,13505.354166666666,1.125,2.8905719383217843,-7.692307692307687,15.593111683793627
2024,945067.64,78,91,10385.358681318681,12116.251794871796,1.1666666666666667,44.69301776324923,6.849315068493156,31.97275246538116
2023,653153.59,73,83,7869.3203614457825,8947.309452054795,1.1369863013698631,-26.89333797195903,-14.117647058823534,-10.158077989636405
2022,893425.54,85,102,8759.073921568628,10510.888705882353,1.2,-66.51235691502553,-44.8051948051948,-46.15712288298223
2021,2667926.01,154,164,16267.841524390242,17324.194870129868,1.0649350649350648,18.788556342896868,144.44444444444446,-46.40028555259532
2020,2245945.31,63,74,30350.6122972973,35649.92555555556,1.1746031746031746,34.94307093266589,-13.698630136986301,45.884401008287455
2019,1664365.05,73,80,20804.563125,22799.521232876712,1.095890410958904,11.742735723713093,21.666666666666657,-10.605811421029522
2018,1489461.52,60,64,23272.83625,24824.358666666667,1.0666666666666667,183.82772083100804,5.263157894736836,183.82772083100804
2017,524776.62,57,64,8199.6346875,9206.607368421053,1.1228070175438596,36.05539381261569,32.558139534883715,8.419141944428121
2016,385708.06,43,51,7562.903137254902,8969.95488372093,1.186046511627907,-26.440466578542022,-4.444444444444439,-29.32515416369723
2015,524348.16,45,49,10700.982857142857,11652.181333333334,1.0888888888888888,13.51134858774481,-21.052631578947366,38.993488066626284
2014,461934.57,57,60,7698.9095,8104.115263157895,1.0526315789473684,146.36510400000003,9.615384615384626,121.72859360000001
2013,187500.0,52,54,3472.222222222222,3605.769230769231,1.0384615384615385,-39.267112438503496,-19.999999999999996,-25.770915202615384
2012,308728.94,65,66,4677.711212121212,4749.676,1.0153846153846153,3.3837888451947906,18.181818181818187,-7.581158456568282
2011,298624.13,55,59,5061.4259322033895,5429.529636363636,1.0727272727272728,14.848203595796683,17.021276595744684,-6.564173345792545
2010,260016.37,47,48,5417.0077083333335,5532.263191489362,1.0212765957446808,41.11591236819383,0.0,46.99574205020192
2009,184257.3,47,50,3685.1459999999997,3920.3680851063828,1.0638297872340425,-37.20166648075007,-9.615384615384615,-27.153933117670082
2008,293411.13,52,58,5058.812586206896,5642.521730769231,1.1153846153846154,-43.58495584363566,-7.14285714285714,-34.8308972676481
2007,520093.77,56,67,7762.593582089553,9287.38875,1.1964285714285714,56.167090038387066,36.585365853658544,9.55004823588348
2006,333036.73,41,47,7085.887872340425,8122.847073170731,1.146341463414634,-47.447912620661405,2.499999999999991,-51.92043069549872
2005,633726.93,40,43,14737.83558139535,15843.173250000002,1.075,-13.701821292169136,2.564102564102555,-3.6671493493981133
2004,734345.66,39,48,15298.867916666668,18829.375897435897,1.2307692307692308,214.62967437874894,8.333333333333325,234.29402902742078
2003,233400.0,36,51,4576.470588235294,6483.333333333333,1.4166666666666667,26.618447135957467,-19.999999999999996,43.99744968403003
2002,184333.33,45,58,3178.1608620689653,4096.296222222222,1.288888888888889,-17.995715906310483,-23.728813559322038,3.2122886006781926
2001,224785.0,59,73,3079.246575342466,3809.915254237288,1.2372881355932204,-29.485409909090343,-15.714285714285714,-15.962063864258347
2000,318778.0,70,87,3664.114942528736,4553.971428571429,1.2428571428571429,,,
